                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.95047,                 2.6548,                 1.3137,                0.00867,                0.58529,                 0.2707,                 0.1825,                0.90765,                 3.1086,                 1.2531,             0.00025005,             0.00025005,             0.00025005
                      1,                 0.9613,                  1.511,                 1.2785,                 0.9354,                0.27663,                0.32588,                0.23431,                0.98227,                 2.6717,                  1.394,             0.00051165,             0.00051165,             0.00051165
                      2,                0.96993,                 1.3862,                 1.2924,                0.84172,                0.25373,                0.58678,                  0.354,                 1.2416,                 2.6029,                 1.6146,             0.00076798,             0.00076798,             0.00076798
                      3,                 1.0346,                 1.3509,                 1.3094,                0.78233,                0.27103,                0.39751,                0.21513,                 1.2804,                 2.7906,                 1.6956,               0.001019,               0.001019,               0.001019
                      4,                0.98411,                 1.2631,                 1.2808,                0.71464,                0.37226,                0.49557,                0.28497,                  1.359,                 2.5821,                 1.6886,              0.0012648,              0.0012648,              0.0012648
                      5,                 1.0492,                 1.3005,                 1.3245,                0.63402,                0.43136,                0.53115,                0.32667,                  1.327,                 2.3339,                 1.7894,              0.0015053,              0.0015053,              0.0015053
                      6,                 1.0361,                 1.2586,                 1.3225,                0.69501,                0.50935,                0.56587,                0.31034,                 1.5744,                 2.2883,                 2.1862,               0.001568,               0.001568,               0.001568
                      7,                 1.0421,                 1.2771,                 1.3503,                0.75085,                0.53354,                0.64438,                  0.377,                 1.4134,                 1.9906,                  1.952,               0.001568,               0.001568,               0.001568
                      8,                 1.0463,                 1.2189,                 1.3454,                0.72821,                0.57056,                0.67477,                0.42043,                 1.3117,                 1.9357,                 1.7288,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.0201,                 1.2151,                 1.3321,                0.56488,                0.55143,                0.57192,                0.33123,                 1.5397,                 2.3281,                 1.9737,               0.001535,               0.001535,               0.001535
                     10,                 1.0148,                 1.1269,                  1.305,                0.62038,                0.65476,                 0.7006,                0.47001,                 1.2459,                 1.8312,                 1.6079,              0.0015185,              0.0015185,              0.0015185
                     11,                0.97472,                 1.0853,                   1.29,                0.70868,                0.66525,                0.69162,                0.43507,                 1.3052,                 1.7036,                 1.6372,               0.001502,               0.001502,               0.001502
                     12,                0.98053,                 1.0694,                 1.2907,                0.75978,                0.68719,                 0.7301,                0.49037,                 1.1906,                 1.4908,                  1.598,              0.0014855,              0.0014855,              0.0014855
                     13,                0.91304,                 1.0405,                 1.2413,                0.73898,                0.67946,                0.67199,                0.43724,                 1.2625,                 1.5878,                 1.5787,               0.001469,               0.001469,               0.001469
                     14,                0.91812,                 1.0032,                 1.2497,                0.74412,                0.74934,                0.77265,                0.51779,                 1.1646,                 1.5454,                 1.5357,              0.0014525,              0.0014525,              0.0014525
                     15,                0.92067,                0.97473,                 1.2691,                0.76125,                0.69313,                0.74247,                 0.4789,                 1.1481,                 1.3747,                 1.4772,               0.001436,               0.001436,               0.001436
                     16,                0.89156,                0.96122,                 1.2422,                0.82896,                0.66907,                 0.7443,                0.50347,                 1.2143,                 1.2678,                 1.5675,              0.0014195,              0.0014195,              0.0014195
                     17,                0.90488,                0.94102,                 1.2471,                0.86554,                0.69147,                0.75818,                0.51266,                 1.1125,                 1.2399,                 1.4167,              0.0014029,              0.0014029,              0.0014029
                     18,                0.91847,                0.95055,                 1.2214,                0.83061,                0.72269,                0.77761,                0.50613,                 1.1321,                 1.2459,                 1.4723,              0.0013864,              0.0013864,              0.0013864
                     19,                0.85877,                0.87085,                  1.189,                0.81741,                0.76483,                0.79149,                0.54703,                 1.0985,                  1.232,                 1.4497,              0.0013699,              0.0013699,              0.0013699
                     20,                0.88407,                0.92549,                 1.2136,                0.84281,                0.69074,                0.76052,                0.50742,                 1.1559,                 1.2973,                 1.5495,              0.0013534,              0.0013534,              0.0013534
                     21,                0.87827,                0.88755,                 1.2252,                0.81795,                 0.6936,                0.74207,                0.49991,                 1.1354,                 1.2846,                 1.4417,              0.0013369,              0.0013369,              0.0013369
                     22,                0.85378,                0.89389,                 1.1973,                0.71987,                0.70105,                0.71408,                0.47019,                 1.1674,                 1.4585,                  1.489,              0.0013204,              0.0013204,              0.0013204
                     23,                0.86337,                0.87193,                 1.2039,                0.79249,                0.69954,                0.75511,                0.51471,                 1.1278,                 1.3376,                  1.421,              0.0013039,              0.0013039,              0.0013039
                     24,                0.85771,                0.83242,                 1.1934,                0.82405,                0.78428,                0.81294,                0.56475,                 1.1272,                 1.0879,                 1.4559,              0.0012874,              0.0012874,              0.0012874
                     25,                0.85758,                0.85544,                 1.1971,                0.87138,                0.73485,                0.82363,                0.59213,                  1.073,                0.99053,                 1.3968,              0.0012709,              0.0012709,              0.0012709
                     26,                0.83766,                0.85784,                 1.1834,                0.90867,                0.70568,                 0.8185,                0.57919,                  1.045,                 0.9515,                   1.38,              0.0012544,              0.0012544,              0.0012544
                     27,                0.81127,                0.79298,                 1.1537,                 0.8414,                0.73312,                0.80552,                0.57777,                 1.0606,                0.99301,                 1.3916,              0.0012379,              0.0012379,              0.0012379
                     28,                0.84718,                0.82664,                 1.1953,                0.74893,                0.73161,                0.75565,                 0.5126,                 1.1641,                 1.2325,                 1.4813,              0.0012214,              0.0012214,              0.0012214
                     29,                0.82544,                0.79583,                 1.1889,                0.80689,                0.69874,                0.78356,                0.54155,                 1.1198,                 1.1577,                 1.4073,              0.0012049,              0.0012049,              0.0012049
                     30,                0.81624,                0.81266,                  1.165,                0.81698,                0.76755,                0.81248,                  0.585,                  1.024,                0.96389,                 1.3713,              0.0011884,              0.0011884,              0.0011884
                     31,                0.80506,                 0.7749,                 1.1683,                 0.8279,                0.78796,                 0.8329,                0.58913,                 1.0269,                0.97143,                  1.397,              0.0011719,              0.0011719,              0.0011719
                     32,                0.79025,                0.74694,                 1.1647,                0.84156,                0.70114,                0.79732,                0.56811,                 1.0095,                 1.0464,                  1.388,              0.0011554,              0.0011554,              0.0011554
                     33,                0.81559,                0.75879,                 1.1726,                0.81908,                0.72119,                0.78543,                0.54894,                 1.0747,                 1.0837,                 1.4174,              0.0011389,              0.0011389,              0.0011389
                     34,                0.81969,                0.77169,                 1.1728,                0.80821,                0.78678,                0.81031,                0.57601,                 1.0597,                 1.0329,                 1.4061,              0.0011224,              0.0011224,              0.0011224
                     35,                0.77983,                0.74044,                 1.1514,                0.82452,                0.75679,                0.79672,                0.56509,                 1.0913,                 1.0604,                 1.4415,              0.0011059,              0.0011059,              0.0011059
                     36,                0.76002,                0.73563,                  1.133,                0.86756,                0.74582,                0.81463,                0.56953,                 1.0358,                 1.0681,                 1.3715,              0.0010894,              0.0010894,              0.0010894
                     37,                0.73846,                0.70096,                 1.1267,                0.88931,                0.68405,                0.79583,                 0.5549,                 1.0898,                 1.0076,                 1.4343,              0.0010729,              0.0010729,              0.0010729
                     38,                0.78248,                0.73726,                 1.1377,                0.79179,                0.69135,                0.73718,                0.51765,                 1.0786,                 1.1291,                   1.46,              0.0010564,              0.0010564,              0.0010564
                     39,                0.76934,                0.72279,                  1.132,                0.83331,                0.72939,                0.81312,                0.58339,                 0.9944,                0.92877,                 1.3463,              0.0010399,              0.0010399,              0.0010399
                     40,                0.74497,                0.70958,                  1.135,                0.83747,                0.71841,                0.82841,                0.57552,                  1.041,                 0.9311,                 1.3621,              0.0010234,              0.0010234,              0.0010234
                     41,                0.72405,                0.69204,                 1.1248,                0.87037,                0.76341,                0.83211,                0.61116,                0.96373,                0.88478,                 1.2898,              0.0010069,              0.0010069,              0.0010069
                     42,                0.72643,                0.67346,                 1.1201,                 0.8702,                0.71455,                0.81873,                0.59698,                 1.0134,                0.91397,                 1.3007,             0.00099036,             0.00099036,             0.00099036
                     43,                0.70661,                0.67293,                 1.1149,                0.84425,                 0.7443,                0.79459,                 0.5764,                0.98491,                0.91313,                 1.3342,             0.00097386,             0.00097386,             0.00097386
                     44,                0.73322,                0.67951,                 1.1148,                0.85791,                0.75178,                0.79586,                0.56644,                 1.0609,                 1.0595,                 1.4193,             0.00095736,             0.00095736,             0.00095736
                     45,                0.75028,                0.69405,                 1.1275,                0.77304,                0.80567,                0.79238,                0.56313,                 1.0216,                0.98309,                 1.3652,             0.00094085,             0.00094085,             0.00094085
                     46,                0.72629,                0.67877,                 1.1117,                0.82361,                0.74445,                0.81706,                0.57495,                 1.0541,                0.95814,                 1.4373,             0.00092435,             0.00092435,             0.00092435
                     47,                0.71927,                0.66981,                 1.1173,                0.86071,                0.74598,                0.83826,                0.59658,                 1.0222,                0.85455,                 1.4211,             0.00090785,             0.00090785,             0.00090785
                     48,                0.68856,                0.64873,                 1.1053,                0.85876,                0.72344,                0.81483,                0.58652,                 1.0106,                0.87057,                 1.3596,             0.00089134,             0.00089134,             0.00089134
                     49,                0.69713,                 0.6304,                 1.0918,                0.86536,                0.73612,                0.80591,                0.59061,                0.96438,                0.90778,                 1.3311,             0.00087484,             0.00087484,             0.00087484
                     50,                0.71886,                 0.6378,                  1.113,                0.82629,                0.76211,                0.80726,                0.59744,                0.92206,                0.89523,                 1.2782,             0.00085834,             0.00085834,             0.00085834
                     51,                0.70528,                0.64888,                 1.0931,                0.85961,                0.76146,                0.81563,                0.59592,                0.92935,                0.86964,                 1.3061,             0.00084184,             0.00084184,             0.00084184
                     52,                0.69855,                0.64251,                 1.0941,                0.86779,                0.72201,                0.82672,                0.61329,                0.96766,                0.91134,                 1.3319,             0.00082533,             0.00082533,             0.00082533
                     53,                0.70088,                0.61762,                 1.0961,                0.87671,                0.75084,                0.82883,                0.60833,                0.95661,                0.84179,                 1.3208,             0.00080883,             0.00080883,             0.00080883
                     54,                0.69943,                0.61766,                 1.1021,                0.85537,                 0.7779,                0.83564,                  0.605,                0.97454,                0.82301,                 1.3493,             0.00079233,             0.00079233,             0.00079233
                     55,                0.66424,                0.60286,                 1.0803,                0.85934,                 0.7578,                0.84544,                0.61602,                0.96112,                0.79998,                 1.3417,             0.00077582,             0.00077582,             0.00077582
                     56,                0.67039,                0.60722,                 1.0876,                0.87109,                0.77031,                 0.8369,                   0.61,                0.93695,                0.81176,                   1.31,             0.00075932,             0.00075932,             0.00075932
                     57,                 0.6491,                0.58462,                 1.0595,                0.82971,                0.76612,                0.81373,                0.60205,                0.92092,                0.85353,                  1.284,             0.00074282,             0.00074282,             0.00074282
                     58,                0.69288,                0.62675,                 1.1001,                0.82222,                0.78234,                0.82718,                0.60534,                0.92277,                 0.8318,                 1.2768,             0.00072631,             0.00072631,             0.00072631
                     59,                0.60811,                0.58807,                 1.0605,                0.82495,                0.80652,                0.82728,                0.61148,                0.92772,                0.83266,                 1.2934,             0.00070981,             0.00070981,             0.00070981
                     60,                0.64619,                0.57483,                 1.0628,                0.89665,                0.75041,                0.83795,                0.61354,                0.92523,                0.84774,                 1.2496,             0.00069331,             0.00069331,             0.00069331
                     61,                0.63059,                0.55755,                 1.0667,                  0.866,                0.76002,                 0.8237,                0.61094,                0.94952,                0.88106,                 1.2817,              0.0006768,              0.0006768,              0.0006768
                     62,                0.61854,                0.56093,                 1.0601,                0.88384,                0.76219,                0.83154,                0.62375,                0.88334,                0.84289,                  1.237,              0.0006603,              0.0006603,              0.0006603
                     63,                0.65145,                0.57525,                 1.0638,                0.86437,                0.78701,                0.83103,                0.62792,                0.84818,                0.77747,                  1.226,              0.0006438,              0.0006438,              0.0006438
                     64,                0.63034,                0.55491,                 1.0465,                0.86617,                0.76224,                0.82918,                0.62118,                0.92916,                0.83646,                  1.275,             0.00062729,             0.00062729,             0.00062729
                     65,                  0.613,                0.54607,                 1.0526,                0.87585,                0.73855,                0.82064,                0.58384,                 1.0067,                0.90959,                   1.31,             0.00061079,             0.00061079,             0.00061079
                     66,                0.61777,                0.55764,                 1.0543,                 0.8285,                0.76939,                0.82697,                 0.5944,                 0.9721,                0.83784,                 1.3008,             0.00059429,             0.00059429,             0.00059429
                     67,                0.60523,                0.52441,                 1.0298,                0.87961,                0.71899,                0.82012,                0.59056,                 0.9865,                0.85301,                 1.3367,             0.00057778,             0.00057778,             0.00057778
                     68,                0.61753,                0.57608,                 1.0576,                0.86903,                0.76208,                0.82426,                0.60696,                0.94812,                0.81753,                 1.2985,             0.00056128,             0.00056128,             0.00056128
                     69,                 0.6153,                0.53342,                 1.0415,                0.85172,                 0.7934,                0.84271,                0.61258,                 0.9123,                0.78233,                 1.2967,             0.00054478,             0.00054478,             0.00054478
                     70,                 0.6002,                0.53956,                  1.039,                0.85633,                0.78868,                0.84939,                0.62016,                0.95455,                0.78978,                 1.2803,             0.00052827,             0.00052827,             0.00052827
                     71,                0.57537,                0.49995,                 1.0237,                0.88865,                0.77442,                0.85344,                0.62944,                0.92451,                0.75667,                 1.2771,             0.00051177,             0.00051177,             0.00051177
                     72,                0.58786,                0.52085,                 1.0416,                0.86388,                0.76623,                0.83789,                0.63149,                0.93772,                0.77262,                 1.2746,             0.00049527,             0.00049527,             0.00049527
                     73,                0.57967,                 0.5219,                 1.0247,                0.83277,                0.77488,                0.83649,                0.61946,                0.94205,                0.79405,                 1.2977,             0.00047876,             0.00047876,             0.00047876
                     74,                0.59294,                0.51146,                 1.0292,                 0.8391,                 0.7735,                0.83346,                0.61472,                 0.9217,                0.78815,                 1.2842,             0.00046226,             0.00046226,             0.00046226
                     75,                0.62171,                0.54797,                 1.0395,                0.81229,                0.75081,                0.81167,                0.60538,                0.92141,                0.81434,                 1.2629,             0.00044576,             0.00044576,             0.00044576
                     76,                0.57353,                 0.5167,                 1.0394,                0.85934,                0.74543,                0.81284,                0.60381,                0.92655,                0.82628,                  1.283,             0.00042925,             0.00042925,             0.00042925
                     77,                0.53663,                0.49936,                 0.9999,                0.87714,                0.74956,                0.84255,                0.62968,                0.88382,                0.75207,                 1.2451,             0.00041275,             0.00041275,             0.00041275
                     78,                0.55953,                0.48964,                 1.0016,                0.87402,                0.75702,                 0.8528,                 0.6406,                0.83189,                0.70794,                 1.2006,             0.00039625,             0.00039625,             0.00039625
                     79,                0.54207,                0.45797,                 1.0228,                0.81736,                0.79874,                0.84257,                0.63252,                 0.8552,                0.71428,                 1.2113,             0.00037974,             0.00037974,             0.00037974
                     80,                0.57034,                0.49806,                 1.0303,                0.88905,                0.76831,                0.86258,                0.64324,                0.86305,                0.70166,                 1.2334,             0.00036324,             0.00036324,             0.00036324
                     81,                0.54901,                0.47979,                 1.0036,                0.90018,                0.74956,                0.85033,                 0.6374,                0.84867,                0.71973,                 1.2143,             0.00034674,             0.00034674,             0.00034674
                     82,                 0.5344,                0.47295,                 1.0028,                0.88492,                0.73585,                0.83432,                0.62846,                0.89086,                0.76901,                 1.2349,             0.00033023,             0.00033023,             0.00033023
                     83,                0.54367,                 0.4702,                 1.0107,                0.82812,                0.78339,                0.82857,                 0.6202,                0.89232,                0.79048,                 1.2512,             0.00031373,             0.00031373,             0.00031373
                     84,                 0.5418,                0.46488,                 1.0136,                0.83854,                0.77959,                0.82795,                0.61666,                0.91461,                0.81558,                 1.2459,             0.00029723,             0.00029723,             0.00029723
                     85,                0.54599,                0.47598,                 1.0146,                0.87444,                0.78062,                0.83337,                0.62062,                0.88893,                0.81737,                  1.213,             0.00028072,             0.00028072,             0.00028072
                     86,                0.53724,                 0.4705,                 1.0139,                0.85802,                0.77108,                0.84032,                0.62725,                0.87534,                0.78506,                 1.2189,             0.00026422,             0.00026422,             0.00026422
                     87,                0.52614,                0.46724,                 1.0024,                0.88914,                0.76066,                 0.8323,                0.62289,                0.86542,                 0.7819,                 1.2149,             0.00024772,             0.00024772,             0.00024772
                     88,                0.53788,                0.46307,                 1.0042,                0.86538,                0.75027,                 0.8278,                0.62309,                0.86515,                0.78408,                 1.2235,             0.00023121,             0.00023121,             0.00023121
                     89,                0.54318,                0.47862,                 1.0082,                0.86444,                 0.7528,                0.83587,                0.63716,                0.85745,                0.76801,                  1.223,             0.00021471,             0.00021471,             0.00021471
                     90,                0.52749,                0.52946,                0.97439,                0.84468,                  0.789,                0.83773,                0.63423,                0.87539,                 0.7624,                 1.2255,             0.00019821,             0.00019821,             0.00019821
                     91,                0.50934,                0.45002,                0.95469,                0.89007,                0.72783,                0.83551,                0.61698,                0.90645,                0.81481,                 1.2457,              0.0001817,              0.0001817,              0.0001817
                     92,                 0.5132,                0.46051,                0.95228,                0.89677,                0.73383,                0.83217,                0.62543,                0.89831,                0.80665,                 1.2393,              0.0001652,              0.0001652,              0.0001652
                     93,                0.48454,                0.42753,                0.95601,                0.83646,                0.78299,                0.83655,                0.63192,                0.86895,                0.73627,                 1.2253,              0.0001487,              0.0001487,              0.0001487
                     94,                0.49371,                0.41006,                0.94461,                0.91434,                0.75249,                0.83919,                0.63739,                0.86345,                0.71274,                 1.2356,             0.00013219,             0.00013219,             0.00013219
                     95,                0.47041,                0.39902,                0.92856,                0.91476,                0.74654,                 0.8453,                0.64468,                0.85589,                0.70816,                 1.2281,             0.00011569,             0.00011569,             0.00011569
                     96,                0.46523,                0.39383,                0.93445,                0.85031,                0.80729,                0.84709,                0.64781,                0.84543,                0.70174,                 1.2115,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.45351,                0.38604,                0.92156,                0.85674,                0.78774,                0.84832,                0.65008,                0.84401,                0.70276,                  1.214,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.47049,                0.39508,                0.94836,                0.83919,                0.80766,                0.84944,                0.64864,                0.84028,                0.68483,                 1.2214,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.46087,                0.38757,                 0.9405,                0.85643,                0.80511,                0.85581,                 0.6506,                0.83703,                0.68509,                 1.2174,             4.9677e-05,             4.9677e-05,             4.9677e-05
